Title,Hinban,Hinmei,KoushinNo,Customer,Maker,Status
"641","TK-056-02","INNER","更新2次型（＃3-4）","住友理工㈱","金型技術","その他"
"642","TK-063-02","INNER","更新2次型（＃3-4）","住友理工㈱","協正金型","型UP待ち"
"643","TQ-471-01","BRACKET","更新6次型（＃11-12）","住友理工㈱","テックアダチ","加工試作待ち"
"644","TQ-471-01","BRACKET","更新7次型（＃13-14）","住友理工㈱","テックアダチ","加工試作待ち"
"645","TK-093-02","BRACKET No.2","更新5次型（＃5）","住友理工㈱","西岡精工","加工試作待ち"
"646","VB-315A-01","BRACKET","更新2次型（＃2）","住友理工㈱","愛豊精機","初品提出中"
"647","079618-1340","スリーブバルブ","更新24次型　＃93～＃96","㈱光製作所","西岡精工","引き渡し準備済"
"648","079618-1340","スリーブバルブ","更新25次型　＃97～＃100 (A1~A4)","㈱光製作所","西岡精工","引き渡し準備済"
"649","RTCL900","ディスクアダプターL","2","㈱シマノ","協生金型","寸検待ち"
"650","RTCL900","ディスクアダプターM","2","㈱シマノ","協生金型","寸検待ち"
"651","TK-308A-01","BRACKET","更新3次型（＃3）","住友理工㈱","フジイ金型","合格済/予備ピン手配中"
"652","TK-308A-01","BRACKET","更新4次型（＃4）","住友理工㈱","フジイ金型","合格済/予備ピン手配中"
"653","TK-339C-02","INNER","更新3次型（＃5､＃6）","住友理工㈱","協正金型","加工試作待ち"
"654","TK-311C-01","BRACKET","更新3次型（＃3）","住友理工㈱","フジイ金型","引き渡し準備済"
"655","TK-311C-01","BRACKET","更新4次型（＃4）","住友理工㈱","フジイ金型","引き渡し準備済"
"656","TK-339C-02","INNER","更新4次型（＃7､＃8）","住友理工㈱","協正金型","加工試作待ち"
"657","TK-314A-01","BRACKET","更新3次型（＃3）","住友理工㈱","西岡精工","引き渡し準備済"
"658","229718-0460","スリーブバルブ","更新17次型　＃65～＃68","㈱光製作所","テックアダチ","初品提出中"
"659","229718-0460","スリーブバルブ","更新18次型　＃69～＃72","㈱光製作所","テックアダチ","初品提出中"
"660","TK-317A-01","BRACKET","更新3次型（＃3）","住友理工㈱","西岡精工","引き渡し準備済"
"661","TK-314A-01","BRACKET","更新4次型（＃4）","住友理工㈱","西岡精工","初品提出中"
"662","TK-317A-01","BRACKET","更新4次型（＃4）","住友理工㈱","西岡精工","合格済/予備ピン手配中"
"663","TK-340C-02","INNER","更新3次型（＃5､＃6）","住友理工㈱","協正金型","寸検待ち"
"664","TK-334C-02","INNER","更新3次型（＃5､＃6）","住友理工㈱","テックアダチ","初品提出中"
"665","TK-340C-02","INNER","更新4次型（＃7､＃8）","住友理工㈱","協正金型","加工試作待ち"
"666","TK-338D-02","INNER","更新3次型（＃5､＃6）","住友理工㈱","テックアダチ","加工試作待ち"
"667","TK-087-01","BRACKET ENGINE　MOUNTING　NO.2　RH","更新3次型（＃5､＃6）","住友理工㈱","金型技術","鋳造試作待ち"
"668","12306-B2170-11","エンジンサポートブラケット、LH","更新5次型（＃5）","丸五ゴム工業㈱","協正金型","引き渡し準備済"
"669","K2030B0D","BRACKET（丸一）","更新15次型（＃15）","TOYO TIRE㈱","テックアダチ","加工試作待ち"
"670","K2030B0D","BRACKET（丸一）","更新14次型（＃14）","TOYO TIRE㈱","テックアダチ","加工試作待ち"
"671","42RF0001000","BRM8220キャリパー　L","更新2次型","㈱シマノ","西岡精工","加工試作待ち"
"672","42RF0002000","BRM8220キャリパー　R","更新2次型","㈱シマノ","西岡精工","加工試作待ち"
"673","42RF0002000","BRM8220キャリパー　R","更新3次型","㈱シマノ","西岡精工","寸検待ち"
"674","42RF0001000","BRM8220キャリパー　L","更新3次型","㈱シマノ","西岡精工","寸検待ち"
"675","GF700673A/GF700674A","END PLATE N/P","更新6次型（＃6）","ビーグルエナジージャパン㈱","テックアダチ","引き渡し準備済"
"676","40NR0040000","CS-R8100スパイダーLowA","更新３次型","㈱シマノ","テックアダチ","寸検待ち"
"677","TG-719-01","BRACKET","更新47次型（＃93,＃94）","住友理工㈱","テックアダチ","金型工事中"
"678","TG-719-01","BRACKET","更新46次型（＃91,＃92）","住友理工㈱","テックアダチ","金型工事中"
"679","TG-719-01","BRACKET","更新45次型（＃89,＃90）","住友理工㈱","テックアダチ","金型工事中"
"680","1T4897-11","BRACKET","更新8次型(＃29～32） 増面4次型","㈱プロスパイラ","フジイ金型","寸検待ち"
"681","TK-022-01","ORIFICE","更新8次型(#15，16)","住友理工㈱","西岡精工","寸検待ち"
